Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),Recharge time (h),Energy Efficiency (km/kWh),City Efficiency (km/kWh),Highway Efficiency (km/kWh),power_efficiency_ratio,City_power_efficiency_ratio,Highway_power_efficiency_ratio,charging_speed
2012,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,7.0,5.347593582887701,5.91715976331361,4.672897196261682,9.163,8.280999999999999,10.486,14.285714285714286
2012,Nissan,LEAF,Mid-size,80,A1,B,19.3,23.0,21.1,2.2,2.6,2.4,117,7.0,4.739336492890995,5.181347150259067,4.3478260869565215,16.88,15.440000000000001,18.400000000000002,16.714285714285715
2013,Ford,Focus Electric,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,4.0,5.0,5.2631578947368425,4.739336492890995,21.4,20.33,22.576999999999998,30.5
2013,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,7.0,5.347593582887701,5.91715976331361,4.672897196261682,9.163,8.280999999999999,10.486,14.285714285714286
2013,Nissan,LEAF,Mid-size,80,A1,B,19.3,23.0,21.1,2.2,2.6,2.4,117,7.0,4.739336492890995,5.181347150259067,4.3478260869565215,16.88,15.440000000000001,18.400000000000002,16.714285714285715
2013,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,8.0,5.1020408163265305,5.813953488372094,4.444444444444445,6.86,6.02,7.875,13.625
2013,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,8.0,5.1020408163265305,5.813953488372094,4.444444444444445,6.86,6.02,7.875,13.625
2013,Tesla,Model S (40 kWh),Full-size,225,A1,B,22.4,21.9,22.2,2.5,2.5,2.5,224,6.0,4.504504504504505,4.464285714285714,4.566210045662101,49.949999999999996,50.4,49.275,37.333333333333336
2013,Tesla,Model S (60 kWh),Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,10.0,4.566210045662101,4.504504504504505,4.6082949308755765,49.275,49.949999999999996,48.824999999999996,33.5
2013,Tesla,Model S (85 kWh),Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,12.0,4.23728813559322,4.201680672268908,4.310344827586207,63.720000000000006,64.25999999999999,62.63999999999999,35.5
2013,Tesla,Model S Performance,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,12.0,4.23728813559322,4.184100418410042,4.310344827586207,73.16000000000001,74.09,71.91999999999999,35.5
2014,Chevrolet,Spark EV,Subcompact,104,A1,B,16.0,19.6,17.8,1.8,2.2,2.0,131,7.0,5.617977528089887,6.25,5.1020408163265305,18.512,16.64,20.384,18.714285714285715
2014,Ford,Focus Electric,Compact,107,A1,B,19.0,21.1,20.0,2.1,2.4,2.2,122,4.0,5.0,5.2631578947368425,4.739336492890995,21.4,20.33,22.576999999999998,30.5
2014,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,21.4,18.7,1.9,2.4,2.1,100,7.0,5.347593582887701,5.91715976331361,4.672897196261682,9.163,8.280999999999999,10.486,14.285714285714286
2014,Nissan,LEAF,Mid-size,80,A1,B,16.5,20.8,18.4,1.9,2.3,2.1,135,5.0,5.434782608695652,6.0606060606060606,4.8076923076923075,14.719999999999999,13.2,16.64,27.0
2014,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,8.0,5.1020408163265305,5.813953488372094,4.444444444444445,6.86,6.02,7.875,13.625
2014,smart,fortwo electric drive coupe,Two-seater,35,A1,B,17.2,22.5,19.6,1.9,2.5,2.2,109,8.0,5.1020408163265305,5.813953488372094,4.444444444444445,6.86,6.02,7.875,13.625
2014,Tesla,Model S (60 kWh),Full-size,225,A1,B,22.2,21.7,21.9,2.5,2.4,2.5,335,10.0,4.566210045662101,4.504504504504505,4.6082949308755765,49.275,49.949999999999996,48.824999999999996,33.5
2014,Tesla,Model S (85 kWh),Full-size,270,A1,B,23.8,23.2,23.6,2.7,2.6,2.6,426,12.0,4.23728813559322,4.201680672268908,4.310344827586207,63.720000000000006,64.25999999999999,62.63999999999999,35.5
2014,Tesla,Model S Performance,Full-size,310,A1,B,23.9,23.2,23.6,2.7,2.6,2.6,426,12.0,4.23728813559322,4.184100418410042,4.310344827586207,73.16000000000001,74.09,71.91999999999999,35.5
2015,BMW,i3,Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,4.0,5.9523809523809526,6.578947368421053,5.319148936170213,21.0,19.0,23.5,32.5
